Product title,SKU,Items sold,N. Revenue,Orders,Category,Variations
Corpro Half Mask Respirator Mask (HM 1400) - Large,1400-001-P00003,2,43.91,2,Respirator Masks,0
P3 Respirator Mask Filter for Corpro Face Mask - 2 x packs of 2,1100-001-P00001,2,40.7,1,Respirator Masks,0
"NPT High Pressure Flexible Hose - Female x 1/4""NPT Female 900 mm x 1/4""",GCS06078,2,272,2,Gases other than Oxy/Oxy Mixture,0
Stainless Steel Workbench (1500 x 900 x 840 mm) with Lower Shelf,SS1590S,2,1399,1,Stainless Steel Work Benches with Lower Shelves,0
Fire Retardant Tarpaulin 3 m x 4.5 m,FRT3X4.5,2,354.66,2,Fire Retardant Tarpaulin,0
Light Weight Oxy-Acetylene Welding &amp; Cutting Kit in Case,2021,2,212.76,2,Cutting &amp; Welding Sets,0
Oxy/Propane Welding Hose Reel - Spring Rewind Twin - 15 m,C808-WELD/TH350OP,2,973.66,1,Hose Reels - Oxy-Acetylene/Propane,0
SifWeld Plasma Cutter - Cut40 Air - Professional 40A - with Built In Compressor,TSXE1P40C,2,1519.9,1,Plasma Cutters,0
Lab Master LGT501 Multi Stage 2 Gauge Oxygen/Inert Cylinder Regulator 0 - 1.5 Bar,3960010447,2,806.91,2,"Inert Gas Regulators, High Pressure Gas Regulators",0
"Flange Pins Magnetic Two Hole 5/16"" - 7/8"" Holes (Pair)",42050-MM,2,260,1,Flange Pins,0
"Flange Pins Magnetic Two Hole 1/2"" - 1 7/16"" Holes (Pair)",42050-M,2,280,1,Flange Pins,0
Rotabroach Element Raptor 355mm Steel Cutting CERMET Dry Cut Blade,RAPB355FS,2,129.7,1,Circular Saw Blades,0
Rotabroach RAP120 Raptor 12 mm M2 Standard Cutter,RAP120,2,25.58,2,Broaching Cutters,0
Rotabroach RAP160 Raptor 16 mm M2 Standard Cutter,RAP160,2,27.4,2,Broaching Cutters,0
Rotabroach RAP200 Raptor 20 mm M2 Standard Cutter,RAP200,2,31.22,2,Broaching Cutters,0
Rotabroach RAP300 Raptor 30 mm M2 Standard Cutter,RAP300,2,46.36,2,Broaching Cutters,0
Sifbronze Brazing Rods - No 101 Series - 2.5 mm x 1 Kg,RO102501,2,76.38,2,Oxy-Acetylene Welding Rods - Brazing,0
Sifbronze Brazing Rods - No 101 Series - 2.5 mm x 2.5 Kg,RO102525,2,167.68,2,Oxy-Acetylene Welding Rods - Brazing,0
3M Speedglas Adflo Face Seal (534000),534000,2,129.55,2,Welding Helmet Spares,0
Bymat Weld Brush Pro Head - Pack of 5,B1137,2,113.27,2,Bymat Weld Cleaning Machines,0
Nylon Wheel Roller Head for Pair,DBDR-403,2,123.6,1,Double Roll Pipe Stands,0
Silver Solder FO380022 225g Jar Flux,FO380022,2,40,2,Welding Fluxes,0
Unfitted Oxygen Welding Hose - 10 mm x 100 m,1355,2,224,1,Welding Hoses - Bulk Coils,0
Table Mount For Inelco Neutrix TIG Tungsten Grinder - 44510270,073-NX STAND,2,116.16,2,Handheld Tungsten Grinders,0
Propane Superheating Nozzle - 5H - BF5H/H5,BF5H/H5,2,61.93,2,Oxy-Propane Torches,0
Air 3M Speedglas 9100FX Airduct Assembly (533500),533500,2,149.94,2,Welding Helmet Spares,0
KEMPER Spare Filter for VacuFil 500 - Pack of 12 (109 0440-12),109 0440-12,2,7041.14,2,"Offers &amp; Deals, Kemper Hi Vacuum Fume Extraction",0
Tech Master 4.5 Purity Single Stage Brass Barstock Diaphragm Outlet Point Regulator 0-3.5 Bar DUPLICATE,GPP400-02-03-00-01-004-07-A,2,267.57,2,High Pressure Gas Regulators,0
Sifcupron No 17 Copper Phosphorus Brazing Rods - 2.4 mm x 1 Kg,RO172401,2,159.28,1,Copper Phosphorus Brazing Rods,0
Baby Pipe Buggy,PB1,2,569.98,1,Gas Cylinder Storage &amp; Handling,0
3 Tonne Pipe Rotators - 50 mm - 1200 mm,MGCR-3,2,6191.5,2,Pipe Rotators,0
Spec Master HPT601 6 Port 2 Stage High Purity Regulator 0 - 3.5 Bar,HPT601-04-03-01-01-010-01-A,2,1073.69,2,High Pressure Gas Regulators,0
"Fitted Propane Welding Hose - 8 mm x 10 m (3/8"" Fittings)",PR516-10M38CV,2,46.82,1,Welding Hoses - Fitted Single Lengths,0
GeKa ELHARD Hard Surfacing Electrodes - 600 S Series - 4.0mm - 6kg,3010101812,2,48.92,1,Hard Surfacing Electrodes,0
Green Canvas Welding Curtain - 8' x 6' with Eyelets,CC8X6,2,67.76,2,Welding Curtains &amp; Frames - Standard,0
Propane Super Heating Nozzle - H5,H5,2,49.38,1,Gas Cutting &amp; Gouging Nozzles,0
Tech Master Gas Arc High Pressure Regulator - D1G Series - High Flow,3960067670,2,2006.66,1,Gas Arc Hi Flow Gas Regulators,0
Roller Heads Steel - for DWT-PSF1000 Stand,DWT-RG350003,2,92.62,1,Tri-Stands &amp; Pipe Jacks,0
Balancer 6-8Kg 2500mm Stroke with Stop Device,9348,2,286.22,1,Tool Balancers,0
Kapio Airfed Welding System - Black S3,CR05S3,2,854.9,1,Welding Helmets,0
AMA Basic Collar Tightener &amp; Wheel,AMA-3010,2,543.96,2,Pipe Welding Clamps,0
"Centering Collar 16""/ DN400",AMA-1400,2,219.26,2,Pipe Welding Clamps,0
F-Tech Armur Mobile Fume Unit 230V c/w 3m Armoflex,ZXFTARMUR230/AFX3,2,3947.5,2,F-Tech Fume Extraction,0
Condor MDR3 10-16A Pressure Switch 11 Bar,7250500000,2,169,1,Servicing &amp; Parts,0
Tundra Refrigerated Air Dryer - 32 Series - 32cfm - with Pre and After Filters,TUNDRA32/FIL,2,2283.04,2,Refrigerated Air Dryers,0
AB450/550 Gasket Set,4082540000,2,107.06,2,Servicing &amp; Parts,0
Exact INOX 140 Blade (140mm),7010509,2,253.8,1,Pipe Saw Spares &amp; Roller Supports,0
"Exact Cermet 140 Thin Blade (140mm) for SS, Steel, Copper, Plastics",7011102,2,174.7,1,Pipe Saw Spares &amp; Roller Supports,0
Exact Stainless Steel Bevel Tip Pipe Set (3 PC),70104504,2,249.06,2,Pipe Saw Spares &amp; Roller Supports,0
"Exact Cermet 180 Blade (180mm) For SS, Steel, Copper, Plastics",70104506,2,195.76,1,Pipe Saw Spares &amp; Roller Supports,0
Electrode Material D=10mm x L=750mm,7536,2,73.64,1,Spot Welding Electrodes,0
Pair Cranked Electrodes 12mm - Min QTY 2,7452,2,57.68,1,Spot Welding Electrodes,0
Cranked Electrodes (8001-8) (Pair),8706,2,238.5,1,Spot Welding Electrodes,0
Jasic Inverter Trolley - JIT-01,JIT-01,2,306,1,"MIG Welders, TIG Welders",0
Weltek Navitek Airkos PAPR Air Hose,CR7010,2,78.92,2,Welding Helmet Spares,0
Neutrix Handheld Grinder Inspection Cover NX - Pack of 5,44510290,2,51.9,2,Handheld Tungsten Grinders,0
Jasic/Weld Star Feed Roll V-Groove (0.6/0.8mm),10055168,2,29.26,1,MIG Welders,0
Navitek S4 Airfed Welding &amp; Grinding System,CR58S4,2,994.58,2,Welding Helmets,0
Tech Master Point Block & Bracket,GCS05021,2,281,1,Outlet Point Gas Regulators,0
KEMPER Grinding Table - 1010 × 1060 × 1700 mm (99 820 0004),99 820 0004,2,4912.5,1,"Offers &amp; Deals, Kemper Filter Tables",0
KEMPER Grinding Table - 1510 × 1060 × 1700 mm (99 820 0101),99 820 0101,2,5267.3,1,"Offers &amp; Deals, Kemper Filter Tables",0
KEMPER Fan Eco - Eco XL 230V,92130150,2,2169,2,"Offers &amp; Deals, Kemper Fans",0
GB Cut Magnetic Portable Flame Cutting Machine (110V) With W120 Torch- 4-48″,55040/01,2,2320.96,2,Pipe Cutting Machines (Oxy-Acetylene),0
"PJ1 'UNO' Pipe Stand (PJ1-2) (10""-15.5"")",PJ1--2,2,174.92,1,Single Tube Pipe Stands,0
"Fiac Oil Free Air Compressor - ECU XSS 228 Series - 1.5HP, 6 Litre Tank, 230V",4116000715,2,712.86,1,Direct Drive Compressors,0
Tech Master Elastomer Polymer Lined High Pressure Flexible Hose - 1800mm,3960007836,2,630.76,1,Gas Arc High Pressure Gas Hoses,0
Column Spot Welder Swivel Electrode (single) 14.8mm 0 Taper,3625,2,104,1,Welding Equipment,0
Replacement DIN 5 Lens for Navitek CR7705,AX3435,2,32.52,1,Welding Helmet Spares,0
Adaptor for Navitek DIN 5 Visor,AX3436,2,22.92,1,Welding Helmet Spares,0
Nuts &amp; Bolts for AX3436,AX3437,2,9.22,1,Welding Helmet Spares,0
Evolution 210mm Heavy Duty Metal Cutting Circular Saw - S210CCS with Chip Collection,058-0001,2,324.15,2,Circular Saws,0
Tech Master GPT401 Two Stage Gas Regulator,GPT401-04-05-01-01-009-07-A,2,385.4,1,Gas Arc Cylinder Mounted Gas Regulators,0
Taylor CDM8 CD Stud Welding Machine - Contact Handtool,12719-WWVP.,2,3768.5,2,Stud Welders - Capacitor Discharge (CD),2
Guide bush for electrode holder NX,72,2,35.92,1,Welding Equipment,0
Grinding Chamber NX,81,2,57.68,1,Welding Equipment,0
"Tech Master 5/8 O/Point BS341 No.3 Outlet 10 bar Flashback Arrestor, Inlet 15mm Pipe Adaptor (Oxygen)",GCS08018,2,456.16,1,Lineleader Gas Control Outlet Points,0
Bymat Cable - 2 Metre Black - For Older Models 1124 and 1024 RS,B1156,2,33.84,2,Bymat Weld Cleaning Machines,0
Bleed Pipe for the Ne-ma Air Compressor Pressure Switch 8/10 Bar,723001000,2,6,1,Servicing &amp; Parts,0
ArcTrode CUT Electrodes - 3.2mm - 5kg,8011100227,2,300,1,TIG Filler Rods for Stainless Steel,0
KEMPER Aluminium Pre‑Filter (109 0013),109 0013,2,208.5,2,"Kemper Filter Tables, Kemper Filters",0
CD Weld Studs M6 x 25 Mild Steel - Pack of 100,17220,2,50,2,Weld Studs,0
CD Weld Studs M6 x 25 Stainless Steel - Pack of 100,18536,2,65,2,Stainless Steel CD Weld Studs,0
CD Weld Studs M5 x 25 Mild Steel - Pack of 100,19261,2,37.5,2,Weld Studs,0
Sifmig 5556 Aluminium MIG Welding Wire,WO371220-WWVP,2,207.32,2,Aluminium MIG Wire,5
Sifmig 985 MIG Copper Brazing Wire,WO980812-WWVP,2,165.3,2,Brazing MIG Wire,6
KEMPER Start/Stop Automatic for Single Arm Units (94102704),94102704,2,1116,1,Kemper Lighting Sets &amp; Start-Stop Sets,0
Weld Star A32 (ER 80S-G) High Strength MIG Wire  (15kg Reel),3010201776-WWVP,2,187.5,1,High Strength Steel MIG Wire,3
Weld Star ER 80S-Ni1 High Strength MIG Wire (15kg Reel),6031100483-WWVP,2,125,3,High Strength Steel MIG Wire,3
4047A Aluminium TIG Rods,RO161601-WWVP,2,117.71,2,TIG Filler Rods for Aluminium,6
SIFAlumin No27 General Purpose Aluminium TIG Rods 2.5kg,RO271625-WWVP,2,41.14,2,TIG Filler Rods for Aluminium,3
312 Stainless Steel TIG Rods,RO351025-WWVP,2,113,2,TIG Filler Rods for Dissimilar Steels,5
308L Stainless Steel TIG Rods 5kg,6011100326-WWVP,2,62.71,2,TIG Filler Rods for Stainless Steel,3
Weld Star - A15 (ER 70S-2) TIG Wire,3010300219-WWVP,2,68.75,2,TIG Filler Rods for Mild Steel,5
A15 Steel TIG Rods,RA151050-WWVP,2,79.3,2,TIG Filler Rods for Mild Steel,6
Weld Star - A32 (ER 80S-B2) TIG Wire,3010300324-WWVP,2,85.42,2,TIG Filler Rods for High Strength Steel,5
Weld Star - ER 2209 Stainless TIG Wire 5kg,6011100309-WWVP,2,193.12,1,TIG Filler Rods for Stainless Steel,3
Weld Star ER 347Si Stainless TIG Wire 5kg,RO201625-WWVP,2,87.5,1,TIG Filler Rods for Stainless Steel,3
SifChrome 312 Stainless Steel Electrodes,RC3122501-WWVP,2,114.76,2,Stainless Steel Welding Electrodes,5
Siftrode Cast Ni Cast Iron Electrode MMA (Stick) 1kg,RE5002501-WWVP,2,142,2,Cast Iron Welding Electrodes,2
Heavy Duty Steel Wheel Kit,SWK6,2,96.3,1,"Pipe Roller Stands, Floor Mounted Roller Stands",0
Strip Curtains for Welding (Clear) - 50 m,PSCL1M3002,2,221,1,Welding Strip Curtains,0
Unfitted Acetylene Welding Hose - 10 mm x 100 m,1354,2,224,1,Welding Hoses - Bulk Coils,0
Unfitted Propane Welding Hose - 10 mm x 100 m,1349,2,354,1,Welding Hoses - Bulk Coils,0
"O-Clips - SWP - 5/8"" (15 - 18mm) - Pack of 100",1334,2,40,2,Hose Nuts - Regulator Fitting,0
"Lab Master Two Stage Twin Cylinder Diaphragm Autochange Control Panel FKM Seal - 300 bar NPT Male Inlet - 0-10 bar 1/2"" Male Outlet KPR (For Hydrogen)",LGD5041-04-05-01-01-004-06-KPR,2,4687.5,2,LGL500 Outlet Point Gas Regulators,0
Tech Master Two Stage Twin Cylinder Piston Autochange Gas Control Panel FKM Seal - 300 bar 1/4 NPT Male Inlet - 0-20 bar 3/8 BSP Male Outlet PR,GPD4241-04-07-01-01-004-07-PR,2,4789.76,2,LGL500 Outlet Point Gas Regulators,0
Stealth-G Grinding Helmet &amp; Digi-Air PAPR System,5044,2,679.56,1,Welding Helmets,0
M6 Threaded CD Weld Studs - 316 Stainless Steel - Pack of 1000,M6x316-1000-WWVP,2,436.48,2,Stainless Steel CD Weld Studs,5
"Hydraulic Cage Clamp 30"" With CCHJ-20T",CCH30/CHJ-20T,2,5900,1,Cage Pipe Clamps,0
Sifbronze No 2 Silicon Bronze Gas Brazing Rods - 4.8 mm x 5 DISCONTINUED,RO024850,2,270,2,Oxy-Acetylene Welding Rods - Brazing,0
Tech Master GPT400 Multi Stage 2 Gauge Cylinder Regulator (Fuel),GPT401-04-02-01-01-011-08-A-WWVP,2,377.54,2,Fuel Gas Regulators,8
Tech Master GPT400 Multi Stage 2 Gauge Cylinder Regulator (CO2),GPT402-02-02-01-01-015-07-A-WWVP,2,422.19,2,CO2 Regulators,4
Tech Master GPS421 Single Stage 2 Gauge Cylinder Regulator (Fuel NEVOC),GPS421-04-07-01-01-024-08-A-WWVP,2,780.5,2,"Fuel Gas Regulators, NEVOC Regulators",5
Super 6 Bronze MN Gas Welding &amp; Brazing 5kg Tube,7480-WWVP,2,176.78,2,Oxy-Acetylene Welding Rods - Brazing,4
Welding Shelter Frame Only 2m x 2m x 2m,ECP902002,2,357.54,2,Welding Tents &amp; Work Shelters,0
Leak Diverter Tarp &amp; Fittings - Yellow Tarp Complete Kit,LD1X1Y-KIT-WWVP,2,199.26,1,"Leak Detection Spray, Spill Containment &amp; Response Kits",4
3M™ Secure Click™ HF800 Series Gas &amp; Vapour Filter Organic A2 6055 - Box of 4 Pairs,6055,2,100,1,Welding Helmet Spares,0
TECH MASTER 5 PORT TWO STAGE DIAPHRAGM CYLINDER REGULATOR FKM SEAL - INLET &lt;=300 bar BS 341 No.3 - OUTLET 0-1.5 bar 1/8 STAINLESS STEEL COMPRESSION,GPT401-04-02-01-01-010-01-A,2,430,1,"Inert Gas Regulators, Oxygen Regulators",0
Jasic EVO MIG 160 PFC (EM-160C) - Compact Inverter Welder - Single Phase - Dual Voltage - 120/160A,EM-160C,2,1701,2,"MIG Welders, Multi Process Welding Machines",0
Jasic EVO Arc 200 PFC Inverter c/w Case &amp; Leads,EA-200,2,754.5,2,"Arc/MMA Welders, Multi Process Welding Machines",0
Jasic EVO TIG 200 (ET-200) PFC Inverter Welder – 200A Dual Voltage Single Phase DC TIG & MMA,ET-200,2,1140,2,TIG Welders,0
Jasic EVO TIG 200P (ET-200PACDC) AC/DC PFC Welder – 200A Dual Voltage Single Phase TIG & MMA Inverter,ET-200PACDC,2,2357.6,2,TIG Welders,0
TECH MASTER 5 PORT TWO STAGE CYLINDER REGULATOR FKM SEAL - INLET &lt;=60 bar 1/4 NPT FEMALE - OUTLET 0-20 bar 1/4 NPT FEMALE - GPT421-02-07-00-01-000-00-A,3960064808,2,1030,1,"Inert Gas Regulators, Oxygen Regulators",0
Super 6 C9 Copper TIG Wire 5kg,7154-WWVP,2,261.89,2,TIG Filler Rods for Copper/Copper-Nickel,3
"Protection strip Clear, transparent Dimensions: 300 x 2 mm - 32m",70 201 032,2,348.45,2,"Generators, Welder Generators",0
"Pivoting arm for welding curtain or strip c/w 1"" Pipe Length : 4,000mm",70 700 257,2,1357,2,Welding Equipment,0
TECH MASTER 5 PORT SINGLE STAGE CYLINDER REGULATOR FKM SEAL - INLET &lt;=300 bar BS 341 No.3 (BASE ENTRY) - OUTLET 0-250 bar G1/4 BSP MALE RH - OPTIONS A - GAS ARC BRAND,GPS421-04-13-01-01-009-89-A,2,1000,1,"Inert Gas Regulators, Oxygen Regulators",0
Tube Adaptor for NPT Hight Pressure Flexible Hose 900mm,GCP37237,2,70,1,Regulator Stems &amp; Fittings,0
Exact Plastic TCT SP190,7011103,2,112.1,1,Pipe Saw Spares &amp; Roller Supports,0
"CONTACT TIP .055""/1.4MM M8 ECU (Pack of 25)",B4014-14,2,20.8,1,Jasic Plasma Cutter Spares,0
GPT401-04-05-01-01-009-07-A - TECH MASTER 5 PORT TWO STAGE DIAPHRAGM CYLINDER REGULATOR FKM SEAL - INLET 0-300 bar BS341 No.3 (Base Entry) - OUTLET 0-10 bar G3/8 BSP R/H BRASS MALE - OPTIONS A - GAS ARC BRAND,3960000042,2,429.04,1,"Inert Gas Regulators, Oxygen Regulators",0
"3M™ Welding Filter Battery, CR20320 (Pack of 2)",422000,2,18.9,1,Welding Helmet Spares,0
RESTRICTED ORIFICE 0.4mm,GCP01182,2,242.46,1,Gas Control Outlet Points/Panels,0
Parweld XTE (171C/181C/201C) Automotive MIG Welder - Single Phase - 230V - 80/90/100A,XTE171/81/20,2,1027.98,2,MIG Welders,6
Cutlass 4mm Chuck,20367,2,52,1,Weld Studs,0
1Kg Tool Balancer by Prevost,BAL 0410A,2,107.84,1,Tool Balancers,0
6Kg Tool Balancer by Prevost,BAL 4060B,2,336.52,2,Tool Balancers,0
GPT402-04-03-01-01-007-07-K,GPT402-04-03-01-01-007-07-K,2,541.67,2,Fuel Gas Regulators,0
"Rapid Purge Inflatable Pipe Purge System, Sizes 8"" – 80"" (190 – 2044mm)",RP-WWVP-1,2,476.8,1,Inflatable Purge Bag Systems,28
Double Seal Purging System (Complete Kit),D-SEAL-FULL-KIT-WWVP,2,3051.28,2,Double Seal Purge Systems,3
KEMPER Prefilter Pack - SmartMaster (10 pcs/pack) (109 0452),109 0452,2,100.16,2,Kemper Filters,0
Aquasol® Water Soluble Paper Roll,W-SOLUBLE-PAPER-WWVP,2,252,1,Water Soluble Welding Products,2
"Defender 200 Welding Screen - 6' 3"" x 5' 1"" - Red/Green/Clear",DEFENDER200,2,179.98,1,Welding Curtains &amp; Frames - Defender,3
Powercap® Infinity® PAPR - Complete Unit,POWERCAP-PRO-INFINITY-WWVP,2,1270,1,"Welding Equipment, Respirator Masks, Air Fed Face Shields",4
Sonis® C Helmet Mounted Ear Defenders 31dB SNR,AEB030-0CY-000,2,39.98,1,Respirator Masks,0
Black Premium Leather Welding Jacket,BLACK-WELDING-JACKET-WWVP,2,121.5,2,Welding Jackets,3
Tech-Master 0-10bar Gauge 1/4NPT Male Inlet (15bar Full Scale),WIK02063,2,47.98,1,Manifold &amp; Regulator Parts/Connectors,0
Black Premium Leather Welding Trousers,BLACK-WELDING-TROUSERS-WWVP-1,2,121.5,2,Welding Trousers &amp; Spats,2
Black Premium Leather Welding Hood,BPLH,2,35.72,1,Welding Caps &amp; Balaclavas,0
Panther Black Leather Cape Welders Jacket,P3786-WWVP,2,74.96,2,Welding Jackets,5
"TECH MASTER 5 PORT SINGLE STAGE PISTON CYLINDER REGULATOR FKM SEAL, Inlet Pressure 0-300 bar, Outlet Pressure 0-200 bar, Inlet Connection BS341 No.3 Base Entry, Outlet Connection 1/4"" NPT Female (GPS421-04-12-01-01-009-00-A)",3960006525,2,716.18,1,"Oxygen Regulators, Gas Arc Cylinder Mounted Gas Regulators",0
TECH MASTER 5 PORT SINGLE STAGE PISTON CYLINDER REGULATOR FKM SEAL - INLET 0-300 bar BS 341 No.3 (BASE ENTRY) - OUTLET 0-200 bar G3/8 BSP R/H BRASS MALE - OPTIONS A - GPS421-04-12-01-01-009-07-A,3960013028,2,890,1,"Inert Gas Regulators, High Pressure Gas Regulators",0
TECH MASTER 5 PORT SINGLE STAGE CYLINDER REGULATOR FKMSEAL - INLET 0-300 bar BS 341 No.3 (BASE ENTRY) - OUTLET 0-250 bar G3/8 BSP R/H BRASS MALE - OPTIONS A - GPS421-04-13-01-01-009-07-A,3960018924,2,1220,1,"Inert Gas Regulators, High Pressure Gas Regulators",0
Workhorse Whisper Oil Free Compressor 1HP 24L 230V 8 Bar,OF120/24,2,332.86,2,Direct Drive Compressors,0
Straight Line Cutter Circle Cutting Guide - Model 31,BCGCIRCLE31,1,57.78,1,Straight Line Cutting Machines,0
NM Type 18/180 Gas Cutting Torch (BU100B180),BU100B180,1,39.22,1,Gas Cutting Torches,0
British Style NM Type 27/180 Cutter (BU200B180),BU200B180,1,32.65,1,Gas Cutting Torches,0
NM Type 27/75 Gas Cutting Torch (BU200B75),BU200B75,1,45.74,1,Gas Cutting Torches,0
NM Type 36/90 Gas Cutting Torch (BU300B/2002/36-90),BU300B/2002/36-90,1,72.3,1,Gas Cutting Torches,0
Tig Gloves Mordant Leather,EAD005,1,20.97,1,Welding Gloves &amp; Gauntlets,0
ArcAir Style K3 600A Straight Carbon Arc Gouging Torch &amp; Cable Assembly (ELCK3),ELCK3,1,88.29,1,Carbon Arc Gouging Torches,0
ArcAir Style K4 1000A Angle Carbon Arc Gouging Torch &amp; Cable Assembly,ELCK4/1129,1,82.5,1,Carbon Arc Gouging Torches,0
400A Welding Electrode Holder Yellow Twist Grip (1018),1018,1,5.16,1,Electrode Holders MMA,0
Hand-Cool 600A Electrode Holder,1031,1,9.76,1,Electrode Holders MMA,0
600A Welding Electrode Holder Yellow Twist Grip,1019,1,6.9,1,Electrode Holders MMA,0
6' x 4' Flame Retardant Canvas Welding Curtain (EZ6X4C),EZ6X4C,1,21.44,1,Welding Curtains &amp; Frames - Standard,0
6' x 6' Flame Retardant Canvas Welding Curtain,EZ6X6C,1,24.98,1,Welding Curtains &amp; Frames - Standard,0
SWP Steel Curtain Frame - 6' x 6' Extends to 6' x 8'DISCONTINUED,1472,1,40.13,1,Welding Curtain Frames &amp; Arms,0
2% Thoriated 4.8 mm Tungsten Electrode (Red Tip) (HP16148) Discontinued,HP16148,1,11.22,1,Thoriated Tungsten Electrodes,0
Zirconiated 2.4 mm TIG Welding Tungsten Electrodes (White) - Pack of 10,HP16224/TE2-3/32MM/10,1,23.36,1,Zirconiated Tungsten Electrodes,0
Zirconiated 4.0 mm TIG Welding Tungsten Electrode (White) - Pack of 10,HP16240,1,8.28,1,Zirconiated Tungsten Electrodes,0
Superstrike 1.6mm TIG Welding Tungsten Electrodes (Purple Tip) - Pack of 10,HP16716,1,13.92,1,Superstrike AC/DC Tungsten Electrodes,0
Argon Gas Economiser + Flow Tube (MW15210),MW15210,1,53.02,1,Gas Economisers / Flowmeters,0
Pipe Stand Steel Wheeled Roller Head - Set of 2,SWH300/90060-SWK300,1,54.3,1,Tri-Stands &amp; Pipe Jacks,0
Pipe Stand Nylon Slip On Wheel Head - Set of 2,NWK3-90032,1,59.73,1,Tri-Stands &amp; Pipe Jacks,0
Ceramic Backing Material Strips Round 6mm x 600mm,PV290806307SF,1,33.42,1,Ceramic Backing Strips,0
Welding Overalls (Flame Retardant / Medium),PV500102,1,38.72,1,Welding Overalls,0
Conical MIG Nozzle 180A - Pack of 5,QH180301W/5,1,13.04,1,MIG Welding Nozzles,0
Sifbronze No 1 Silicon Bronze Gas Brazing Rods - 1.6 mm x 2.5 Kg,RO011625,1,52.86,1,Oxy-Acetylene Welding Rods - Brazing,0
Sifbronze No 1 Silicon Bronze Gas Brazing Rods - 4.8 mm x 5 Kg,RO014850,1,117.4,1,Oxy-Acetylene Welding Rods - Brazing,0
Stainless 310 TIG Rods - 1.2 mm x 2.5 Kg,RT701225,1,106.62,1,TIG Filler Rods for Stainless Steel,0
"No 5 Standard Ceramic Cup 5/16"" Bore 10N49",10N49,1,32.31,1,TIG Torch Consumables,0
KEMPER FilterTable - Welding Fume Extraction Table (950 400 001),950 400 001,1,3460,1,"Offers &amp; Deals, Kemper Filter Tables",0
"Fitted Oxy-Acetylene Twin Hose Set (3/8"" Fittings) - 8 mm x 20 m",BZ82038SETFTSY,1,66.35,1,Twin Welding Hoses - Fitted Set,0
"Fitted Propane Welding Hose (1/4"" Fittings) - 6 mm x 10 m",BW6001014PFT/P1339,1,27.91,1,Welding Hoses - Fitted Single Lengths,0
"Oxygen Welding Hose - Fitted (3/8"" Fittings) - 6 mm x 10 m",BW6001038BFT,1,14.64,1,Welding Hoses - Fitted Single Lengths,0
"Oxygen Welding Hose - Fitted (3/8"" Fittings) - 10 mm x 5 m",BW1000538BFT,1,18.98,1,Welding Hoses - Fitted Single Lengths,0
"Kromer Welding Cap - Size 7""",ESF287001/1961,1,11.25,1,Welding Caps &amp; Balaclavas,0
"Kromer Welding Cap - Size 7 7/8""",ESF287007,1,10.4,1,Welding Caps &amp; Balaclavas,0
KATBAK Ceramic Welding Backing Tiles - 1G42 Series - 12 m Box with Multiple Options,1G42-FR,1,34.8,1,Katbak Ceramic Backing Strips,0
Fire Barrier PU28 - 1 x 50 m,PU28/1X50,1,462.46,1,Fire Barrier Fabric,0
Welding Jacket Kevlar Stitched Red Leather - XL,ESF240104,1,32,1,Welding Jackets,0
Welders Jacket Grey Chrome Leather,ESF4000-WWVP,1,30.71,1,Welding Jackets,4
Proban Balaclava,ESF240030,1,6.67,1,Welding Caps &amp; Balaclavas,0
Proban Balaclava with Cape,ESF240035,1,13.93,1,Welding Caps &amp; Balaclavas,0
Visual &amp; Audible Alarm Panel (Four Gas Channels),GCS03004/3960032456,1,1478.3,1,Gas Alarm Panels,0
2 x 1 Auto Changeover Panels (CO2) 2x1 6 Bar (GCS26115),3960014605,1,2662.25,1,Auto Changeover Manifolds (2 x 1 / 0 - 6 Bar),0
"Hose - 1800 mm - 3/8"" Female RH x 3/8"" Female RH",GCS06163,1,317.89,1,Oxygen High Pressure Flexible Gas Hoses,0
Sifsilcopper No 7 Copper TIG Rods - 1.6 mm x 1 Kg,RO071601,1,91.28,1,Oxy-Acetylene Welding Rods - Brazing,0
Hardfacing Electrode HF-425 x 4.0 mm - 4.5 Kg pack,HF-425-40-2932,1,87.75,1,Hard Surfacing Electrodes,0
Sifalumin No 14 1050A Aluminium Rods - 1.6 mm x 2.5 Kg (RO141625),RO141625,1,41.2,1,Oxy-Acetylene Welding Rods - Aluminium,0
Sifalumin No 15 4043A Aluminium TIG Welding Rods - 1.6 mm x 1 Kg,RO151601-3005,1,20.71,1,Oxy-Acetylene Welding Rods - Aluminium,0
Sifalumin No 15 4043A Aluminium TIG Welding Rods - 3.2 mm x 1 Kg,RO153201,1,0,1,Oxy-Acetylene Welding Rods - Aluminium,0
Earth Clamp &amp; Welding Cable Set - 25 mm x 5 m (C250502),C250502,1,63.8,1,Welding Cable Sets,0
Earth Clamp & Welding Cable Set - 50 mm x 5 m,C500502,1,77.77,1,Welding Cable Sets,0
16 mm Cable Lugs (Reusable) - Pack of 10,EW16RL/10,1,9.55,1,Re-usable Cable Lugs,0
DIN Type Socket 35 - 50 mm ( Pack of 10),CS3550,1,37,1,Welding Cable - Plugs &amp; Sockets,0
DGB Barrel Inline Oxygen Flashback Arrestor (AU111002),AU111002,1,12.08,1,Flashback Arrestors,0
Antox Pickling Paste with Brush - 71E Plus - 10kg Container,ANTOX71E/10kg,1,222.48,1,Pickling &amp; Neutralising Agents,0
